,course_id,reviewer_name,rating,review_text,url
77,cennye-bumagi-pravovoe-regulirovanie,Боровых А М,1,Устаревшая информация,https://www.coursera.org/learn/cennye-bumagi-pravovoe-regulirovanie/reviews?page=1
78,cennye-bumagi-pravovoe-regulirovanie,Кипарисов Ф Г,5,"Отличный практикоориентированный курс. Антон Сергеевич Селивановский очень понятно объясняет материал. Вся информация сопровождается схемами - это облегчает усвоение довольно сложных вопросов. Задачи практические, а не сугубо теоретические, заставляют еще раз проанализировать услышанное. ",https://www.coursera.org/learn/cennye-bumagi-pravovoe-regulirovanie/reviews?page=1
79,cennye-bumagi-pravovoe-regulirovanie,Покровский Б Н ,5,"Очень полезный курс! Материал подается системно, по прохождении в голове полный порядок со всеми институтами рынка ценных бумаг. По большей части курс на общее ознакомление, но некоторые моменты представлены очень глубоко, что тоже не может не радовать. ",https://www.coursera.org/learn/cennye-bumagi-pravovoe-regulirovanie/reviews?page=1
80,cennye-bumagi-pravovoe-regulirovanie,Дмитрий А Д,5,Интересный и познавательный курс! Большое спасибо!,https://www.coursera.org/learn/cennye-bumagi-pravovoe-regulirovanie/reviews?page=1
81,cennye-bumagi-pravovoe-regulirovanie,Алина К,5,"Очень хороший курс! Автор все подробно, кратко и доступно объясняет. После каждого этапа есть краткий презентационный материал, ссылки на дополнительную литературу, выдержки из учебника автора по соответствующим темам, все можно скачать в формате пдф. Подходит для начинающих. Рекомендую!",https://www.coursera.org/learn/cennye-bumagi-pravovoe-regulirovanie/reviews?page=1
82,cennye-bumagi-pravovoe-regulirovanie,Ruslan G,3,"Всего одна попытка пройти тест дается за 8 часов, в других курсах от ВШЭ по 3 попытки",https://www.coursera.org/learn/cennye-bumagi-pravovoe-regulirovanie/reviews?page=1
83,cennye-bumagi-pravovoe-regulirovanie,Дмитрий К,4,"курс отличный, но достаточно монотонный по причине области, которую он объясняет. Очень понравилась сама тема!",https://www.coursera.org/learn/cennye-bumagi-pravovoe-regulirovanie/reviews?page=1
84,cennye-bumagi-pravovoe-regulirovanie,Nargiza,5,классный курс,https://www.coursera.org/learn/cennye-bumagi-pravovoe-regulirovanie/reviews?page=1
85,cennye-bumagi-pravovoe-regulirovanie,Shkarpitna O,5,супер ,https://www.coursera.org/learn/cennye-bumagi-pravovoe-regulirovanie/reviews?page=1
86,cennye-bumagi-pravovoe-regulirovanie,Сыновец А Е,5,"Уважаемый Антон Сергеевич! От всего сердца и мозга благодарю за столь содержательный и полезный курс. Хотел бы высказать предложения о том, как можно было бы улучшить (упростить) курс. Курс показался действительно довольно не простым на фоне других пройденных мною курсов. Во-первых, в лекциях часто не хватает материала для успешной сдачи теста. Периодически приходилось просто ""выбивать"" верные ответы, потому что не мог найти в доп. материалах помощи. В качестве предложения хотел бы выдвинуть следующие инициативы: 1) снижение необходимого количества проверяющих до двух человек (выбор в пользу ученика или наоборот). 2) снижения количества тестов с множественным выбором.С уважением,Сыновец Аркадий,благодарный слушатель, студент ВШЭ, 3 курс, Государственное и муниципальное управление",https://www.coursera.org/learn/cennye-bumagi-pravovoe-regulirovanie/reviews?page=1
